Year_Month,Fuel_Category,County,Count
2020/11,Electric,HOWARD,2132
2020/11,Electric,KENT,14
2020/11,Electric,MONTGOMERY,6364
2020/11,Electric,PRINCE GEORGES,1359
2020/11,Electric,QUEEN ANNES,94
2020/11,Electric,SAINT MARYS,161
2020/11,Electric,SOMERSET,3
2020/11,Electric,TALBOT,85
2020/11,Electric,UNKNOWN,34
2020/11,Electric,WASHINGTON,147
2020/11,Electric,WICOMICO,59
2020/11,Electric,WORCESTER,51
2020/11,Electric,CA,2
2020/11,Plug-in Hybrid,ALLEGANY,39
2020/11,Plug-in Hybrid,ANNE ARUNDEL,1194
2020/11,Plug-in Hybrid,BALTIMORE,1288
2020/11,Plug-in Hybrid,BALTIMORE CITY,647
2020/11,Plug-in Hybrid,CALVERT,170
2020/11,Plug-in Hybrid,CAROLINE,22
2020/11,Plug-in Hybrid,CARROLL,252
2020/11,Plug-in Hybrid,CECIL,85
2020/11,Plug-in Hybrid,CHARLES,182
2020/11,Plug-in Hybrid,DORCHESTER,23
2020/11,Plug-in Hybrid,FREDERICK,733
2020/11,Plug-in Hybrid,GARRETT,6
2020/11,Plug-in Hybrid,HARFORD,308
2020/11,Plug-in Hybrid,HOWARD,1189
2020/11,Plug-in Hybrid,KENT,35
2020/11,Plug-in Hybrid,MONTGOMERY,3768
2020/11,Plug-in Hybrid,PRINCE GEORGES,1006
2020/11,Plug-in Hybrid,QUEEN ANNES,91
2020/11,Plug-in Hybrid,SAINT MARYS,180
2020/11,Plug-in Hybrid,SOMERSET,8
2020/11,Plug-in Hybrid,TALBOT,87
2020/11,Plug-in Hybrid,UNKNOWN,18
2020/11,Plug-in Hybrid,WASHINGTON,166
2020/11,Plug-in Hybrid,WICOMICO,93
2020/11,Plug-in Hybrid,WORCESTER,70
2020/11,Plug-in Hybrid,CO,2
2020/11,Plug-in Hybrid,DE,1
2020/11,Plug-in Hybrid,IL,1
2020/11,Plug-in Hybrid,KY,1
2020/11,Plug-in Hybrid,OH,2
2020/11,Plug-in Hybrid,TN,1
2020/11,Plug-in Hybrid,WA,1
2020/12,Electric,UNKNOWN,35
2020/12,Electric,ALLEGANY,37
2020/12,Electric,ANNE ARUNDEL,1823
2020/12,Electric,BALTIMORE,1779
2020/12,Electric,BALTIMORE CITY,855
2020/12,Electric,CA,3
2020/12,Electric,CALVERT,162
2020/12,Electric,CAROLINE,7
2020/12,Electric,CARROLL,359
2020/12,Electric,CECIL,99
2020/12,Electric,CHARLES,228
2020/12,Electric,DE,1
2020/12,Electric,DORCHESTER,24
2020/12,Electric,FREDERICK,840
2020/12,Electric,GARRETT,15
2020/12,Electric,HARFORD,378
2020/12,Electric,HOWARD,2188
2020/12,Electric,KENT,16
2020/12,Electric,MONTGOMERY,6527
2020/12,Electric,PRINCE GEORGES,1399
2020/12,Electric,QUEEN ANNES,96
2020/12,Electric,SAINT MARYS,166
2020/12,Electric,SOMERSET,3
2020/12,Electric,TALBOT,88
2020/12,Electric,WASHINGTON,156
2020/12,Electric,WICOMICO,59
2020/12,Electric,WORCESTER,54
2020/12,Plug-In Hybrid,UNKNOWN,19
2020/12,Plug-In Hybrid,ALLEGANY,40
