Station Name,Street Address,City,State,ZIP,Status Code,Latitude,Longitude,ID,Open Date,EV Connector Types,Country,Access Code
Pine Near RV Park,316 Castle Ave,Winthrop,WA,98862,E,48.476543,-120.180796,60004,2013-09-23,J1772,US,public
Omak Inn,912 Koala Dr,Omak,WA,98841,E,48.421424,-119.503978,60005,2013-10-04,J1772,US,public
59er Diner,15361 US 2,Leavenworth,WA,98826,E,47.758434,-120.742416,60006,2014-01-15,J1772,US,public
Pateros Lakeshore Inn,312 Lakeshore Dr,Pateros,WA,98846,E,48.051825,-119.901506,60007,2013-12-28,J1772,US,public
Birkenstock,17506 NE Delfel Ct,Ridgefield,WA,98642,E,45.748069,-122.662816,60229,2014-01-01,J1772,US,public
PARKMETRO1 PARK METRO #1,11101 NE 12th St,Bellevue,WA,98004,E,47.620793,-122.192469,60241,,J1772,US,public
VALLEY MED CTR MAIN LOT #8,4109-4251 Talbot Rd S,Renton,WA,98055,E,47.443123,-122.212538,60331,,J1772,US,public
OLY CITY HALL L CREIGHTON JC,900 Plum St SE,Olympia,WA,98501,E,47.040864,-122.891583,60463,,J1772,US,public
Haselwood Chevrolet Buick GMC,501 W Hills Blvd,Bremerton,WA,98312,E,47.557801,-122.675335,60718,2014-01-01,J1772,US,public
Lakeside 24 Hour Fuel,16835 Lewis River Rd,Cougar,WA,98616,E,46.051228,-122.301754,60814,2014-03-06,J1772,US,public
AWNISSAN QUICK CHARGER 1,3608 NE Auto Mall Dr,Vancouver,WA,98662,E,45.648181,-122.59837,61030,,CHADEMO,US,public
MI SCHOOLS BOYS&GIRLS CLUB,4120 86th Ave NE,Mercer Island,WA,98040,E,47.572423,-122.223262,61426,,J1772,US,public
MI SCHOOLS ADMIN BUILDING,4160 86th Ave SE,Mercer Island,WA,98040,E,47.571243,-122.223155,61580,,J1772,US,public
Pierce County - Annex Lot,2401 S 35th St,Tacoma,WA,98409,E,47.228866,-122.469105,61683,2013-06-30,J1772,US,private
Pierce County - City Building,930 Tacoma Ave S,Tacoma,WA,98402,E,47.253668,-122.446141,61684,2011-12-01,J1772,US,private
